,Missing Count,Missing %
fin13am,8243,96.11
fin13alm,8242,96.09
fin14c,8241,96.08
con31h,8241,96.08
fin22a_1,8233,95.99
fin40a,8225,95.9
fin11c,8221,95.85
fin32_acc_s,8206,95.67
fin24bor_SD_ND,8204,95.65
fin11f,8197,95.57
fin25e3m,8195,95.55
fin45b,8182,95.39
fin24sell_SD_ND,8178,95.35
fin43d,8172,95.28
fin38_39b,8172,95.28
fin38_39d,8172,95.28
con26w,8171,95.27
con4,8168,95.23
fin37_38_39d,8162,95.16
fin31d_s,8154,95.07
con3a,8144,94.95
fin11a,8137,94.87
fin17f,8135,94.85
fin14d,8123,94.71
fin37_38_39b,8106,94.51
fin5lm,8105,94.5
fin17e,8099,94.43
fin43b,8086,94.28
fin11b,8065,94.03
con23,8049,93.84
fin6lm,8045,93.8
fin43a,8020,93.51
con31d,8013,93.42
fin24work_VD,8012,93.41
fin38_39c,8008,93.37
fin32_33_34b,8008,93.37
fin20,8006,93.34
fin32_33_34c,8000,93.27
fin24sell_VD,7992,93.18
con31b,7988,93.13
fin32_33_34d,7980,93.04
con2a,7979,93.03
con30h,7979,93.03
fin37_39b,7978,93.02
fin17dlm,7973,92.96
fin11d,7969,92.91
fin6w,7961,92.82
fin37_39d,7960,92.81
fin11_2a,7957,92.77
con32a,7931,92.47
fin25e3w,7931,92.47
con28w,7931,92.47
fin27b,7918,92.32
fin32_n33_34d,7880,91.87
fing2p_mob,7875,91.82
fin37_38_39c,7864,91.69
fin42_acc,7860,91.64
con28m,7857,91.61
fin36b,7853,91.56
fin24d2,7848,91.5
fin11e,7837,91.37
fing2p_card,7830,91.29
fin37_39c,7808,91.03
fing2p_cash,7808,91.03
fin24d1,7800,90.94
fin17dm,7796,90.89
con31a,7787,90.79
fin32_n33_34b,7782,90.73
fin34d,7770,90.59
con21,7749,90.35
fin25e1,7748,90.33
fin45a,7739,90.23
fin19,7730,90.12
fh2a,7724,90.05
fin24bor,7721,90.02
con20,7712,89.91
inactive_t_d,7708,89.87
con30g,7703,89.81
fin45e,7644,89.12
fin6m,7628,88.94
fin22c,7619,88.83
fin9b,7592,88.52
fin17b,7575,88.32
con26d,7571,88.27
fin5m,7568,88.24
con30e,7559,88.13
fin9a,7556,88.1
fin34b,7553,88.06
fin22h,7550,88.03
con30b,7523,87.71
con30d,7523,87.71
con30a,7523,87.71
fin8,7520,87.68
con27,7499,87.43
con30c,7487,87.29
con11,7475,87.15
con12d,7475,87.15
con17a,7475,87.15
con19,7475,87.15
con14,7475,87.15
con18,7475,87.15
con16,7475,87.15
con17b,7475,87.15
fin4_d,7454,86.91
fin24sell,7447,86.83
fin3,7418,86.49
con9b,7407,86.36
fin25e4d,7388,86.14
fin24c,7382,86.07
fin22f,7368,85.9
fin27a,7354,85.74
fin24ba,7322,85.37
fin45c,7250,84.53
dig_acc,7202,83.97
fin24bc,7190,83.83
fin24bd,7190,83.83
fin24bb,7178,83.69
fin45d,7178,83.69
fin28,7099,82.77
fin38_39a,6986,81.45
fin29,6935,80.86
fin38_39_acc,6934,80.84
fin32_33_34a,6908,80.54
fin22e,6904,80.49
fin24work_SD_ND,6868,80.07
fin25e2,6867,80.06
merchant_pay,6823,79.55
fin32_33_acc,6776,79.0
