,Data Type,Non-Null Count,Missing Values,Missing %,Unique Values
fin5lm,float64,472,8105,94.5,472
fin5n,float64,172,8405,97.99,172
fin6w,float64,616,7961,92.82,616
fin6m,float64,949,7628,88.94,948
fin6lm,float64,532,8045,93.8,532
fin6n,float64,160,8417,98.13,160
fin11_0,float64,68,8509,99.21,61
fin9a,float64,1021,7556,88.1,1020
fin17dw,float64,172,8405,97.99,172
fin17dm,float64,781,7796,90.89,780
fin17dlm,float64,604,7973,92.96,604
fin17e,float64,478,8099,94.43,478
fin7,float64,232,8345,97.3,232
fin3,float64,1159,7418,86.49,1158
fin19,float64,847,7730,90.12,846
fin20,float64,571,8006,93.34,570
fin21,float64,307,8270,96.42,306
fin24ba,float64,1255,7322,85.37,1254
fin24bb,float64,1399,7178,83.69,1398
fin24bc,float64,1387,7190,83.83,1386
fin24bd,float64,1387,7190,83.83,1386
fin24c,float64,1195,7382,86.07,1194
fin24d1,float64,777,7800,90.94,776
fin24d2,float64,729,7848,91.5,728
fin24d3,float64,204,8373,97.62,202
fin25e1,float64,829,7748,90.33,828
fin25e2b,float64,2498,6079,70.88,2497
fin25e3w,float64,646,7931,92.47,645
fin25e3m,float64,382,8195,95.55,382
fin25e3lm,float64,180,8397,97.9,180
fin25e4a,float64,232,8345,97.3,232
fin25e4b,float64,100,8477,98.83,100
fin25e4c,float64,100,8477,98.83,100
fin25e4d,float64,1189,7388,86.14,1188
fin25e4e,float64,100,8477,98.83,100
fh2a,float64,853,7724,90.05,852
fin31c,float64,100,8477,98.83,96
fin36a,float64,135,8442,98.43,134
fin36b,float64,724,7853,91.56,723
fin40a,float64,352,8225,95.9,352
fin40b,float64,280,8297,96.74,280
fin36Aa,float64,20,8557,99.77,2
fin36Ab,float64,20,8557,99.77,2
fin8,float64,1057,7520,87.68,1056
fin13aw,float64,169,8408,98.03,169
fin13am,float64,334,8243,96.11,333
fin13alm,float64,335,8242,96.09,335
fin13an,float64,37,8540,99.57,37
fin13bw,float64,145,8432,98.31,145
fin13bm,float64,310,8267,96.39,309
fin13blm,float64,334,8243,96.11,333
fin13bn,float64,37,8540,99.57,37
fin13cw,float64,193,8384,97.75,193
fin13cm,float64,298,8279,96.53,297
fin13clm,float64,323,8254,96.23,323
fin13cn,float64,37,8540,99.57,37
fin13e,float64,264,8313,96.92,263
fin13f,float64,205,8372,97.61,205
fin13f_1,float64,73,8504,99.15,73
fin15,float64,205,8372,97.61,205
fin16,float64,73,8504,99.15,73
fin22f,float64,1209,7368,85.9,1200
fin41,float64,100,8477,98.83,100
fin35,float64,100,8477,98.83,100
fin44,float64,196,8381,97.71,196
fh1_fh2,float64,2560,6017,70.15,2559
fin28_29,float64,1874,6703,78.15,1846
fin31d_s,float64,423,8154,95.07,421
fin32_n33_34c_s,float64,182,8395,97.88,182
fin34c_s,float64,236,8341,97.25,236
fin43c_s,float64,216,8361,97.48,215
fin32_acc_s,float64,371,8206,95.67,371
fin34a_s,float64,328,8249,96.18,328
fin32_33_acc_s,float64,122,8455,98.58,109
inactive_t_d_s,float64,29,8548,99.66,29
fing2p_fin_s,float64,233,8344,97.28,233
fin32_33_34a_s,float64,109,8468,98.73,104
fin32_n33_acc_s,float64,288,8289,96.64,288
fin37_39_acc_s,float64,200,8377,97.67,200
fin37_39c_s,float64,21,8556,99.76,21
fin31a_31b_s,float64,325,8252,96.21,325
fin31a_s,float64,274,8303,96.81,274
fin31b_s,float64,186,8391,97.83,186
fin32_n33_34a_s,float64,248,8329,97.11,248
fin37_39a_s,float64,170,8407,98.02,170
fin34d_s,float64,25,8552,99.71,25
fin32_33_34d_s,float64,4,8573,99.95,4
fin32_n33_34d_s,float64,14,8563,99.84,14
fing2p_card_s,float64,1,8576,99.99,1
fin37_39d_s,float64,6,8571,99.93,6
fin42_acc_s,float64,15,8562,99.83,15
fin32_33_34c_s,float64,2,8575,99.98,2
fin37_38_39c_s,float64,30,8547,99.65,30
fin38_39c_s,float64,16,8561,99.81,16
fing2p_acc_s,float64,260,8317,96.97,260
fing2p_cash_s,float64,35,8542,99.59,35
fin37_38_39a_s,float64,187,8390,97.82,187
fin37_38_39_acc_s,float64,211,8366,97.54,211
fin38_39a_s,float64,115,8462,98.66,115
fin38_39_acc_s,float64,120,8457,98.6,120
fin34b_s,float64,42,8535,99.51,42
fin32_n33_34b_s,float64,21,8556,99.76,21
fin43b_s,float64,8,8569,99.91,8
fin27b_s,float64,37,8540,99.57,37
fin27a_s,float64,86,8491,99.0,86
fin22h_s,float64,72,8505,99.16,72
fin28_29_s,float64,150,8427,98.25,150
fin28_s,float64,114,8463,98.67,114
fin29_s,float64,129,8448,98.5,129
fing2p_mob_s,float64,13,8564,99.85,13
fin37_38_39d_s,float64,1,8576,99.99,1
fin37_38_39b_s,float64,6,8571,99.93,6
fin37_39b_s,float64,4,8573,99.95,4
fin11_2a_s,float64,46,8531,99.46,45
fin11b_s,float64,37,8540,99.57,37
